nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,10,40,100,200,600,30,180,540,360,50,Inclus,400,300,20,2,90,60,165,495,35
Olight 18650 3500mAh batterie pour M2R / X7,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/olight-18650-3500mah-accu-voor-m2r-x7.html,False,23.95,False,6926540927215,47.0,Olight,ORB-186S35,18650.0,Li-ion,Rechargeable,3.6,3.5,Haut plat,10.0,Protégé,"68,00",18.35,,,,,,,,,,,,,,,,,,,,
Samsung ICR18650-26J (26J3) - 2600mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/samsung-icr18650-26j3.html,False,2.99,True,7417940527338,44.0,Samsung,ICR18650-26J,18650.0,Li-ion,Rechargeable,3.6,2.6,Haut plat,10.0,Non protégé,"65,00",18.4,2.85,2.78,2.68,2.6,2.53,,,,,,,,,,,,,,,
Molicel INR18650-M35A 3350mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/molicel-inr18650-m35a-3500mah-10a.html,False,4.25,True,7417940530154,48.0,Molicel,INR-18650-M35A,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,10.0,Non protégé,"65,05",18.3,,,3.65,3.45,3.35,4.15,,,,,,,,,,,,,,
Sanyo NCR18650GA 3350mAh - 10A - Vert,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-ncr18650ga-3350mah-10a-groen.html,False,4.15,True,7417940527352,47.0,Sanyo,NCR18650GA,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,10.0,Non protégé,"65,10",18.3,3.8,,,,,3.7,3.55,3.45,,,,,,,,,,,,
LG INR18650-M26S 2500mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/lg-inr18650-m26s.html,True,2.55,True,7417940527406,44.0,LG,INR18650M26,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,10.0,Non protégé,"65,00",18.2,,,2.35,2.25,2.15,2.45,,,,,,,,,,,,,,
Sinowatt SW18650-34MP 3250mAh - 3.25A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sinowatt-sw18650-34mp-3250mah-3-25a.html,False,3.15,True,7417940527420,49.0,Sinowatt,SW18650-34MP,18650.0,Li-ion,Rechargeable,3.6,3.25,Haut plat,3.25,Non protégé,"65,20",18.5,2.85,,2.55,2.45,2.35,,,,,,,,,,,,,,,
EVE INR18650-33V 3100mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eve-inr18650-33v-3100mah-10a.html,False,2.75,True,7417940527437,46.0,EVE,INR18650-33V,18650.0,Li-ion,Rechargeable,3.6,3.1,Haut plat,10.0,Non protégé,"65,00",18.35,2.6,,2.45,2.35,2.25,,,,,,,,,,,,,,,
EVE INR18650-29V 2800mAh - 8.4A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/eve-inr18650-29v-2800mah-8-4a.html,True,3.25,True,7417940527475,44.5,EVE,INR18650-29V,18650.0,Li-ion,Rechargeable,3.6,2.8,Haut plat,8.4,Non protégé,"65,00",18.35,,,2.68,2.58,2.38,2.88,,,,,,,,,,,,,,
Tenpower INR18650-22E 2200mAh - 10A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/terrae-inr18650-22e-2200mah-10a.html,True,,False,5903864721287,48.0,Tenpower,INR18650-22E,18650.0,Li-ion,Rechargeable,3.6,2.2,,10.0,Non protégé,"65,10",18.6,,,,,,,,,,,,,,,,,,,,
Sony / Murata US18650VTC5 2600mAh - 30A - Reclaimed,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-murata-us18650vtc5-2600mah-30a-reclaimed.html,False,3.35,True,7417940529868,46.0,Sony,US18650VTC5,18650.0,Li-ion,Rechargeable,3.6,2.6,"récupéré, Haut plat",30.0,Non protégé,"65,00",18.4,3.25,,2.95,2.75,,,,,,,,,,,,,,,,
Sanyo UR18650RX 1950mAh - 30A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/panasonic-ur18650rx-30a.html,False,2.99,True,7417940527154,46.0,Sanyo,UR18650RX,18650.0,Li-ion,Rechargeable,3.6,1.95,Haut plat,30.0,Non protégé,"65,00",18.21,2.85,,,,,2.75,2.65,2.45,2.55,,,,,,,,,,,
Sony / Murata US18650VTC6 3000mAh - 30A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sony-us18650-vtc6-reclaimed.html,False,3.99,True,7417940527147,48.0,Sony / Murata,US18650VTC6,18650.0,Li-ion,Rechargeable,3.6,3.0,"récupéré, Haut plat",30.0,Non protégé,"65,00",18.2,3.95,,3.75,3.65,3.55,,,,,3.85,,,,,,,,,,
Sanyo UR18650ZM2 2470mAh - 8A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/sanyo-ur18650zm2-2600mah-8a.html,False,2.75,True,7417940526706,46.4,Sanyo,UR18650ZM2,18650.0,Li-ion,Rechargeable,3.6,2.47,Haut plat,8.0,Non protégé,"65,10",18.3,,,,,,2.55,2.45,2.25,2.35,,,,,,,,,,,
EverActive micro USB 18650 3200mAh (protégé) - 7A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/everactive-micro-usb-18650-3200mah-protected-7a.html,False,9.45,False,7417940531038,92.0,Everactive,3200 series,18650.0,Li-ion,Rechargeable,3.6,3.1,Bouton haut,7.0,Protégé,"70,20",18.4,,,,,,,,,,,Câble USB,,,,,,,,,
BAK N18650CNP 2500mAh - 20A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-n18650cnp-2500mah-20a.html,False,2.89,True,7417940526812,47.0,BAK,N18650CNP,18650.0,Li-ion,Rechargeable,3.6,2.5,Haut plat,20.0,Non protégé,"64,85",18.35,,,2.61,2.5,2.4,2.7,,,,,,,,,,,,,,
BAK H18650CQ 2550mAh - 10.2A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-h18650cq-2550mah-10-2a.html,False,2.65,True,7417940526829,48.0,BAK,H18650CQ,18650.0,Li-ion,Rechargeable,3.6,2.55,Haut plat,10.2,Non protégé,"64,85",18.35,2.6,,2.5,2.4,2.3,,,,,,,,,,,,,,,
BAK N18650CL 2900mAh - 8.25A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-n18650cl-2900mah-8-25a.html,False,2.65,True,7417940526829,48.0,BAK,N18650CL-29,18650.0,Li-ion,Rechargeable,3.6,2.9,Haut plat,8.25,Non protégé,"64,85",18.35,,2.3,2.1,2.0,1.95,,,,,,,,,,,,,,,
BAK N18650CP 3350mAh - 6.5A,https://www.nkon.nl/fr/rechargeable/li-ion/18650-size/bak-n18650cp-3350mah-6-5a.html,True,3.75,True,7417940526836,48.0,BAK,N18650CP,18650.0,Li-ion,Rechargeable,3.6,3.35,Haut plat,6.5,Non protégé,"64,85",18.35,3.45,,2.95,2.9,2.8,,,,,3.25,,,,,,,,,,
