nom,liens,disponibiliter,prix_regulier,remis_aditionnelle,10,100,200,400,EAN / GTIN,Poids - g,Marque,Model,Taille de la batterie,Batterie chimique,Batterie,Tension nominale,capaciter_ah,Version batterie,Courant de décharge - A,Protection des circuits,Hauteur - mm,Diamètre - mm,30,20,130,390,260,50,128,256,512,60,Inclus,25,125,250,600,520
BAK N21700CB 4800mAh - 13.8A - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/bak-n21700cb-4800mah-6-5-a.html,False,2.75,True,2.45,2.25,2.15,2.1,7417940530758,70.0,BAK,N21700CB,21700.0,Li-ion,Rechargeable,3.6,4.7,Haut plat,13.8,Non protégé,"70,45",21.25,,,,,,,,,,,,,,,,
Samsung INR21700-30T 3000mAh - 35A CLEAR WRAP - remis à neuf,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-30t-3000mah-35a-clear-wrap-reclaimed.html,True,2.25,True,,1.98,,1.9,7417940530437,68.0,Samsung,INR21700-30T,21700.0,Li-ion,Rechargeable,3.6,3.0,"récupéré, Haut plat",35.0,Non protégé,"70,10",21.0,2.05,,,,,,,,,,,,,,,
Sanyo NCR20700A 3300mAh - 30A NO WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/sanyo-ncr20700a-3300mah-30a.html,True,4.75,True,,,,,7417940527819,68.0,Sanyo,,20700.0,Li-ion,Rechargeable,3.6,3.3,Haut plat,30.0,Non protégé,"70,00",20.0,,4.55,4.25,4.05,,,,,,,,,,,,
Samsung INR21700-48X 4650mAh - 9.6A NO WRAP,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-48x-4650mah-9-6a.html,True,3.85,True,,,,,7417940527772,68.0,Samsung,,21700.0,Li-ion,Rechargeable,3.6,4.65,Haut plat,9.6,Non protégé,"71,00",21.0,3.55,,3.25,2.95,3.05,,,,,,,,,,,
Nitecore 21700 NL2150HPi 5000mAh - 15A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/nitecore-21700-nl2150hpi-5000mah-15a.html,True,22.95,True,21.95,,,,6952506493715,73.0,Nitecore,NL2150HPi,21700.0,Li-ion,Rechargeable,3.6,5.0,Bouton haut,15.0,Protégé,"77,20",21.9,,,,,,,,,,,,,,,,
LG INR21700-M50LT 4890mAh - 14.4A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/lg-m50lt.html,False,4.55,True,4.34,,,,7417940527925,70.0,LG,INR21700-M50LT,21700.0,Li-ion,Rechargeable,3.6,4.89,Haut plat,14.6,Non protégé,"70,65",21.44,,,4.11,3.91,4.01,4.24,,,,,,,,,,
Samsung INR21700-33J 3270mAh - 6.4A - Single Tag,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-tag.html,True,1.8,True,,,,,7417940526782,63.0,Samsung,INR21700-33J,21700.0,Li-ion,Rechargeable,3.6,3.27,Lèvre de soudure,6.4,Non protégé,"70,15",21.1,,,1.5,1.4,,1.7,,,,,,,,,,
Samsung INR21700-33J 3270mAh - 6.4A - U-Tag,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-u-tag.html,True,1.95,True,,,,,7417940530642,63.0,Samsung,INR21700-33J,21700.0,Li-ion,Rechargeable,3.6,3.27,Lèvre de soudure en U,6.4,Non protégé,"70,15",21.1,,,1.65,1.55,,1.85,,,,,,,,,,
Samsung INR21700-33J 3270mAh - 6.4A - Z-Tag,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/samsung-inr21700-33j-3270mah-3-2a-z-tag.html,True,1.95,True,,,,,7417940526782,63.0,Samsung,INR21700-33J,21700.0,Li-ion,Rechargeable,3.6,3.27,Lèvre de soudure en Z,6.4,Non protégé,"70,15",21.1,,,1.65,1.55,,1.85,,,,,,,,,,
Lishen LR2170SD 4800mAh - 9.6A,https://www.nkon.nl/fr/rechargeable/li-ion/21700-20700-size/lishen-lr2170sd-4800mah-9-6a.html,False,3.95,True,,,,,7417940527468,73.0,Lishen,,21700.0,Li-ion,Rechargeable,3.6,4.8,Haut plat,9.6,Non protégé,"70,90",21.7,3.76,,,,,,3.66,3.56,3.5,,,,,,,
